"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Colombia","COL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.1479034423828","","","91.3140029907227","","","","","","","","92.7146301269531","92.911247253418","92.2205963134766","92.8456192016602","93.4353713989258","93.4151306152344","93.4867935180664","93.6671295166016","","","94.4846572875977","94.4158172607422","94.8902206420898","","95.3189163208008","95.4690322875977","95.8750610351562","","",
"Comoros","COM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","40.3176193237305","","","","","","","","","","","","","","","","","","","","63.4590187072754","","","","","","","","","","","","42.6372909545898","","","","","","","","","","56.8699989318848",
"Cabo Verde","CPV","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.9986190795898","","","","","","","","","","69.4445571899414","","","","","","","","","","","","80.496223449707","","","82.0422210693359","","","","","","","87.6100006103516",
"Costa Rica","CRI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","92.5771331787109","","","","","","","","","","","","","","","","95.0807876586914","","","","","","","","","","","97.5004119873047","","","","","","","","","","98.0999984741211","",
"Caribbean small states","CSS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.9235000610352","88.9924163818359","89.292350769043","89.5863037109375","89.8703689575195","90.1514511108398","89.6429977416992","90.7538223266602","91.1309432983398","91.3622894287109","91.5792083740234","91.770149230957","92.0127868652344","92.1343078613281","92.7682418823242","92.9496917724609","","","","","","","","","","","","","","",
"Cuba","CUB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7909164428711","","","","","","","","","","99.7171478271484","","","","","","","","","99.7171478271484","",
"Curacao","CUW","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.0214767456055","","","","","","","","","","99.0214767456055","","","","","",
"Cyprus","CYP","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.0017776489258","","","","","","","","","95.0796585083008","","","","","","","","","","98.1162261962891","","","","","","","","","","99.1500015258789","",
"Czechia","CZE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","72.5360794067383","","","","","","","","","","","","","","","","","","","","","87.1770935058594","","","","","88.2771682739258","","","89.6973037719727","90.2255706787109","90.2241668701172","91.2505111694336","92.1477890014648","92.3210601806641","93.7641296386719","","","","","","95.5999984741211",
"Algeria","DZA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.8399200439453","","","","","","","","","","","","","","","60.075080871582","","","","63.9187889099121","","67.5487518310547","","","","","","","","","","75.3229675292969","","","","",
"East Asia & Pacific (excluding high income)","EAP","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","49.9355316162109","50.1526794433594","51.6764984130859","53.410228729248","54.352180480957","56.520149230957","57.4849891662598","59.262279510498","60.6856689453125","62.0500984191895","63.226978302002","64.7206192016602","70.4424896240234","71.4272994995117","71.5300903320312","73.0890197753906","73.8779907226562","74.632682800293","75.4333572387695","76.2417831420898","76.9636535644531","85.0125274658203","85.5605926513672","85.9844818115234","86.4088897705078","86.9822387695312","87.4617691040039","87.9722595214844","88.4693374633789","88.8552322387695","89.453987121582","91.0066680908203","91.4022827148438","91.878662109375","92.1929473876953","91.9139022827148","92.1322402954102","92.2632064819336","92.9346084594727","93.1638412475586","93.4136581420898","93.6259918212891","93.856201171875","94.2917785644531","94.7819976806641","94.8024597167969","",
"Early-demographic dividend","EAR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","37.3530883789062","37.6553688049316","38.3404006958008","39.0699081420898","39.7571411132812","39.8815803527832","40.955150604248","41.9796104431152","42.7737884521484","43.7816505432129","44.5723190307617","45.3783302307129","46.3379096984863","46.720588684082","47.5342903137207","48.6445007324219","49.2944107055664","50.241828918457","51.0430488586426","51.9929809570312","52.9865493774414","53.935489654541","54.7364616394043","57.5922088623047","58.4225196838379","59.2753791809082","59.9456787109375","60.6783409118652","61.694019317627","62.6845817565918","62.1933784484863","62.8372001647949","63.8809509277344","64.7356033325195","65.8554534912109","68.1740493774414","68.4508285522461","69.084358215332","69.6980514526367","70.9281616210938","71.7644271850586","72.5756301879883","73.0892868041992","73.5040969848633","73.8940582275391","74.4787826538086","74.9784927368164","75.7668533325195",
"East Asia & Pacific","EAS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","52.9263114929199","53.1723785400391","54.5682106018066","56.1470718383789","56.9974784851074","59.0370483398438","59.8869590759277","61.5057487487793","62.8052597045898","64.055419921875","65.1162261962891","66.5240707397461","71.6329727172852","72.5461120605469","72.6621932983398","74.0788116455078","74.8060302734375","75.5037384033203","76.2621231079102","77.0253524780273","77.7007293701172","84.8733367919922","85.3992080688477","85.8379364013672","86.2397308349609","86.807243347168","87.2832107543945","87.810661315918","88.3039169311523","88.7084808349609","89.2895889282227","90.7135391235352","91.1433334350586","91.6126480102539","91.8322296142578","91.5148391723633","91.7530822753906","91.886848449707","92.6412200927734","92.8814392089844","93.1314468383789","93.3517608642578","93.5822372436523","94.0413589477539","94.5039291381836","94.5390472412109","",
"Europe & Central Asia (excluding high income)","ECA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","90.8076629638672","91.9514999389648","92.2351837158203","92.5034866333008","92.7804794311523","93.0714263916016","93.1706085205078","93.4515686035156","93.6340637207031","93.8107681274414","93.9834976196289","94.1537704467773","94.3231430053711","94.5940399169922","94.7639617919922","95.2882385253906","95.4255599975586","95.5314712524414","95.6453399658203","95.7641830444336","95.8869171142578","96.0253677368164","96.1899795532227","96.135627746582","96.2807006835938","96.4140701293945","97.1307830810547","97.5702362060547","97.9569778442383","98.153190612793","98.2219085693359","98.2583084106445","98.2894973754883","98.4836730957031","98.472770690918","98.7043609619141","98.7313232421875","98.8617401123047","98.9141311645508","98.9547271728516",
"Europe & Central Asia","ECS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.1971817016602","94.3904495239258","94.6264495849609","94.8071136474609","95.0559692382812","95.2191314697266","95.3011627197266","95.4269027709961","95.6290817260742","95.7675399780273","95.9018325805664","96.1015625","96.1442108154297","96.2921829223633","96.4388198852539","96.6130676269531","97.0707321166992","97.2734832763672","97.4160919189453","97.5037689208984","97.560432434082","97.6148910522461","97.7479629516602","97.8020172119141","97.9582138061523","98.0051422119141","98.1070709228516","98.1425933837891","98.1698913574219",
"Ecuador","ECU","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","80.4052276611328","","","","","","","","86.1933288574219","","","","","","","","","","","89.6970901489258","","","","","","90.8655700683594","91.1225662231445","90.9175491333008","90.4701080322266","90.220817565918","90.9516830444336","92.2180786132812","93.2538604736328","93.2566223144531","93.3145294189453","92.0866928100586","","","92.4902420043945","94.0484924316406","93.0507507324219",
"Egypt, Arab Rep.","EGY","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","22.438009262085","","","","","","","","","","31.3926696777344","","","","","","","","","","43.5953102111816","","","","","","","","","56.1215515136719","57.8119087219238","","","","63.5158081054688","","65.7566604614258","62.7052192687988","","","","65.5056915283203","","","","","68.9499969482422",
"Euro area","EMU","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.2244186401367","","","","","","54.8010711669922","","","","","","","","","","68.9461898803711","","","","",
"Spain","ESP","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","89.9369201660156","","","","","","","","","","95.0510025024414","","","","","","","","","","","","","96.2308807373047","96.9251480102539","96.9748306274414","97.2603225708008","96.8868408203125","96.9259719848633","97.0045013427734","97.0655670166016","97.2180404663086","97.4405364990234","97.4873504638672","97.5471267700195","97.6953582763672","","97.9737777709961","","98.1870422363281","","",
"Estonia","EST","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.6014785766602","","","","","","","","","","","99.7600631713867","","","","","","","","","","","99.9094772338867","","","","","","","","","","99.879997253418","",
"Ethiopia","ETH","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5149803161621","","","","","","","","","","22.7999992370605","17.9771995544434","","28.9216403961182","","","","","","","","","","44.4233818054199","","","","","",
